STA_NO,Area_NO,INFO_DATE,FCST_Rainfall,Q_IN
RFETS,09,2024-01-14 09:00:00.000,0.0,3.088889
RFETS,09,2024-01-14 10:00:00.000,0.0,3.088889
RFETS,09,2024-01-14 11:00:00.000,0.0,3.088889
RFETS,09,2024-01-14 12:00:00.000,0.0,3.088889
RFETS,09,2024-01-14 13:00:00.000,0.0,0.0
RFETS,09,2024-01-14 14:00:00.000,0.0,3.088889
RFETS,09,2024-01-14 15:00:00.000,0.0,3.088889
RFETS,09,2024-01-14 16:00:00.000,0.0,3.605471
RFETS,09,2024-01-14 17:00:00.000,0.0,35.05318
RFETS,09,2024-01-14 18:00:00.000,0.0,9.47847
RFETS,09,2024-01-14 19:00:00.000,0.0,33.94746
RFETS,09,2024-01-14 20:00:00.000,0.0,14.3728
RFETS,09,2024-01-14 21:00:00.000,0.0,15.2616
RFETS,09,2024-01-14 22:00:00.000,0.0,33.19016
RFETS,09,2024-01-14 23:00:00.000,0.0,16.97476
RFETS,09,2024-01-15 00:00:00.000,0.0,15.87269
RFETS,09,2024-01-15 01:00:00.000,0.0,12.11821
RFETS,09,2024-01-15 02:00:00.000,0.0,14.26528
RFETS,09,2024-01-15 03:00:00.000,0.0,10.22886
RFETS,09,2024-01-15 04:00:00.000,0.0,9.35564
RFETS,09,2024-01-15 05:00:00.000,0.0,8.47373
RFETS,09,2024-01-15 06:00:00.000,0.0,4.543838
RFETS,09,2024-01-15 07:00:00.000,0.0,3.670913
RFETS,09,2024-01-15 08:00:00.000,0.0,3.087778
RFETS,09,2024-01-15 09:00:00.000,0.040462427745664734,3.087778
RFETS,09,2024-01-15 10:00:00.000,0.18843930635838152,0.0
RFETS,09,2024-01-15 11:00:00.000,2.7895953757225485,0.0
RFETS,09,2024-01-15 12:00:00.000,5.080924855491319,3.084445
RFETS,09,2024-01-15 13:00:00.000,4.344508670520229,3.084445
RFETS,09,2024-01-15 14:00:00.000,2.265317919075147,6.172222
RFETS,09,2024-01-15 15:00:00.000,2.004624277456652,6.172222
RFETS,09,2024-01-15 16:00:00.000,0.843930635838151,9.378351
RFETS,09,2024-01-15 17:00:00.000,1.2040462427745655,31.78337
RFETS,09,2024-01-15 18:00:00.000,1.4635838150289047,15.13875
RFETS,09,2024-01-15 19:00:00.000,1.3572254335260143,16.02225
RFETS,09,2024-01-15 20:00:00.000,0.5236994219653172,33.17909
RFETS,09,2024-01-15 21:00:00.000,0.27745664739884335,33.25774
RFETS,09,2024-01-15 22:00:00.000,0.46647398843930565,18.6151
RFETS,09,2024-01-15 23:00:00.000,0.32658959537572224,33.36476
RFETS,09,2024-01-16 00:00:00.000,0.13063583815028904,16.83895
RFETS,09,2024-01-16 01:00:00.000,0.3069364161849716,16.62269
RFETS,09,2024-01-16 02:00:00.000,0.3358381502890169,15.72631
RFETS,09,2024-01-16 03:00:00.000,0.4589595375722538,17.91808
RFETS,09,2024-01-16 04:00:00.000,0.29537572254335215,13.97053
RFETS,09,2024-01-16 05:00:00.000,0.2838150289017339,10.01909
RFETS,09,2024-01-16 06:00:00.000,0.15953757225433537,12.23571
RFETS,09,2024-01-16 07:00:00.000,0.18265895953757239,8.27864
RFETS,09,2024-01-16 08:00:00.000,0.05144508670520231,12.32444
RFETS,09,2024-01-16 09:00:00.000,0.23468208092485562,9.245556
RFETS,09,2024-01-16 10:00:00.000,0.5578034682080918,9.245556
RFETS,09,2024-01-16 11:00:00.000,0.16705202312138745,9.244445
RFETS,09,2024-01-16 12:00:00.000,0.06878612716763002,9.244445
RFETS,09,2024-01-16 13:00:00.000,0.10809248554913305,9.244445
RFETS,09,2024-01-16 14:00:00.000,0.0,9.246667
RFETS,09,2024-01-16 15:00:00.000,0.04335260115606935,9.246667
RFETS,09,2024-01-16 16:00:00.000,0.0398843930635838,6.343526
RFETS,09,2024-01-16 17:00:00.000,0.02947976878612716,56.78571
RFETS,09,2024-01-16 18:00:00.000,0.0,15.16803
RFETS,09,2024-01-16 19:00:00.000,0.10982658959537576,33.57904
RFETS,09,2024-01-16 20:00:00.000,0.014450867052023121,16.94633
RFETS,09,2024-01-16 21:00:00.000,0.0578034682080925,33.1825
RFETS,09,2024-01-16 22:00:00.000,0.0,18.68411
RFETS,09,2024-01-16 23:00:00.000,0.0034682080924855496,33.58405
RFETS,09,2024-01-17 00:00:00.000,0.0,20.53436
RFETS,09,2024-01-17 01:00:00.000,0.0,31.57032
